algorithm,domain,iterations_ci_high,iterations_ci_low,iterations_mean,iterations_median,n,path_length_ci_high,path_length_ci_low,path_length_mean,path_length_median,scenario,tree_size_ci_high,tree_size_ci_low,tree_size_mean,tree_size_median
RRT,2D,2154.6177958070202,2137.2324041929796,2145.9251,2108.0,10000,63.00848332612791,62.884316673872085,62.9464,63.0,backtrack_required,479.92718240017257,475.3910175998275,477.6591,459.0
WRRT,2D,4684.776826793306,4643.049173206693,4663.913,4574.0,10000,61.69173211656291,61.570867883437096,61.6313,61.0,backtrack_required,499.1270234334248,495.3655765665752,497.2463,488.0
RRT,2D,327.2168840294423,321.9937159705577,324.6053,299.0,10000,33.360771391162835,33.28642860883716,33.3236,33.0,empty_space,324.18607832981087,319.11992167018917,321.653,298.0
WRRT,2D,170.85453673558672,168.3174632644133,169.586,156.0,10000,32.33963071141138,32.272369288588614,32.306,32.0,empty_space,171.30737803854007,168.80022196145993,170.0538,157.0
RRT,2D,2510.5217824043584,2494.8616175956413,2502.6917,2476.0,10000,82.82381616446713,82.64338383553286,82.7336,82.0,maze,1357.3664523954753,1348.5847476045246,1352.9756,1335.0
WRRT,2D,2074.460260127914,2061.626939872086,2068.0436,2048.5,10000,81.63830518972883,81.46849481027117,81.5534,81.0,maze,899.1930845095354,893.6469154904645,896.42,888.0
RRT,2D,838.1077507207651,808.345649279235,823.2267,589.0,10000,20.928078249384413,20.840121750615587,20.8841,21.0,multiple_narrow_passage,457.99853281457933,443.42626718542067,450.7124,342.0
WRRT,2D,531.1788239335631,508.8521760664369,520.0155,338.0,10000,20.274032245185506,20.19696775481449,20.2355,20.0,multiple_narrow_passage,211.83035593021245,205.03184406978752,208.4311,158.0
RRT,2D,628.1751718503222,620.9072281496778,624.5412,600.0,10000,39.22046805442036,39.079731945579645,39.1501,38.0,multiple_paths,367.0167670558922,362.5878329441078,364.8023,350.0
WRRT,2D,447.10199149858767,441.78920850141236,444.4456,425.0,10000,39.263419342169115,39.11318065783088,39.1883,39.0,multiple_paths,196.2851396573135,194.0294603426865,195.1573,189.0
RRT,2D,798.7773183706616,769.2936816293383,784.0355,545.0,10000,24.446088685261564,24.341311314738434,24.3937,24.0,multiple_shifted_narrow_passage,432.24453606720306,417.91806393279694,425.0813,311.0
WRRT,2D,549.7863719233346,525.7464280766653,537.7664,325.0,10000,23.97747857120298,23.88212142879702,23.9298,24.0,multiple_shifted_narrow_passage,209.95622009181875,202.92497990818123,206.4406,149.0
RRT,2D,535.2320437289114,514.0185562710886,524.6253,356.0,10000,21.666753007400036,21.567446992599965,21.6171,21.0,narrow_passage,313.9999911197037,304.6882088802964,309.3441,246.0
WRRT,2D,340.2699590338618,322.98104096613815,331.6255,172.0,10000,20.748464027154633,20.663535972845366,20.706,20.0,narrow_passage,147.6694410451844,143.2455589548156,145.4575,113.0
RRT,2D,260.89714463773043,255.92405536226954,258.4106,231.0,10000,28.898986743356602,28.781613256643396,28.8403,28.0,opposite_corners,254.06771435559287,249.28888564440715,251.6783,226.0
WRRT,2D,131.94206812463224,129.57193187536777,130.757,117.0,10000,27.19171783871293,27.105682161287074,27.1487,27.0,opposite_corners,128.6348085884682,126.3243914115318,127.4796,115.0
RRT,2D,317.7268831389606,313.5227168610394,315.6248,293.0,10000,36.50505515509736,36.377744844902644,36.4414,36.0,single_wall,232.81410998870675,229.60429001129327,231.2092,212.0
WRRT,2D,301.27330900721995,297.3614909927801,299.3174,281.0,10000,36.43024199007598,36.30855800992402,36.3694,36.0,single_wall,159.7792374621487,157.8939625378513,158.8366,149.0
RRT,2D,34.746876086976194,32.1027239130238,33.4248,7.0,10000,6.652313794509509,6.589286205490491,6.6208,6.0,very_close,35.56039646208683,32.942403537913165,34.2514,8.0
WRRT,2D,23.018871373362558,21.54572862663744,22.2823,7.0,10000,6.7510411284471425,6.689758871552857,6.7204,6.0,very_close,23.906711861564766,22.445488138435238,23.1761,8.0
RRT,3D,1039.3428954357873,829.0771045642128,934.21,755.5,100,41.18458053157743,39.475419468422565,40.33,39.5,center_hole,830.6350345872476,683.7649654127525,757.2,674.5
WRRT,3D,541.612822718533,412.5671772814669,477.09,350.5,100,39.37564790195925,37.86435209804075,38.62,37.5,center_hole,408.4444015318283,334.83559846817167,371.64,316.0
RRT,3D,752.2525079890366,643.4674920109634,697.86,635.0,100,41.683634115654854,40.49636588434515,41.09,41.0,default_3d,633.4119014512835,532.6080985487165,583.01,522.0
WRRT,3D,438.10276493836085,374.39723506163915,406.25,363.0,100,40.982674527417956,39.69732547258205,40.34,40.0,default_3d,348.214562164036,292.625437835964,320.42,290.5
